ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y
1,99,5675.243469,478.3448276
1,100,9347.963818,489.2517321
1,101,5350.800487,488.1459854
1,102,5434.136858,487.3203733
1,103,9107.729282,488.5414365
1,104,5630.593103,493.7862069
1,105,5382.67756,488.5686275
1,106,5406.306169,479.6892612
1,107,9302.162731,486.850616
1,108,9523.314488,494.9446408
1,109,9263.506757,493.5318533
1,110,9557.321178,497.1318373
1,111,6779.836559,499.5526882
1,112,5742.403527,498.7966805
1,113,9175.067301,500.1558157
1,114,9457.04717,494.7704403
1,115,6727.747009,499.3538462
1,116,9417.599911,509.9942016
1,117,5478.385839,501.6038186
1,118,5602.95498,507.1869031
1,119,5512.00805,496.1252236
1,120,5687.689003,503.766323
1,121,9027.894094,514.3492872
1,122,5535.763458,512.5709625
1,123,9057.283628,517.9701765
1,124,5347.291463,518.754878
1,125,9242.172057,519.3570505
1,126,8995.569099,521.2824034
1,127,9510.387061,518.4638158
1,128,5652.474344,522.2964652
1,129,9205.059058,524.4469274
1,130,6847.043576,529.0841473
1,131,9621.358553,520.8815789
1,132,9291.207926,527.7782883
1,133,5438.715283,525.8143754
1,134,5384.814293,533.1050073
1,135,5623.836343,526.6139955
1,136,8884.939516,530.5483871
1,137,6887.076669,531.3701256
1,138,9574.590331,531.3842239
1,139,5554.962045,539.5861887
1,140,9161.241281,536.0113879
1,141,9378.198614,528.1635104
1,142,5759.128676,539.5948529
1,143,8631.347981,536.7494062
1,144,9481.631861,530.937751
1,145,9099.294484,534.044484
1,146,8660.291881,539.2877698
1,147,7114.385406,546.389517
1,148,5596.200224,543.1912752
1,149,9131.787362,546.4533601
1,150,8972.197512,548.7376879
1,151,9529.237463,548.4041298
1,152,8832.250712,550.6880342
1,153,9618.286713,548.6853147
1,154,9327.390067,558.3616141
1,155,9424.351551,554.534712
1,156,9076.036093,556.2059448
1,157,3191.851675,555.9473684
1,158,9187.151992,556.2264151
1,159,5425.112128,560.3592677
1,160,9219.9,559.0141791
1,161,7024.747454,566.9891378
1,162,8908.392941,554.0776471
1,163,9502.479695,561.3807107
1,164,5333.721875,558.2833333
1,165,9020.108635,566.7910864
1,166,9556.423963,567.6789555
1,167,9588.340351,562.4654971
1,168,9272.939505,562.0944088
1,169,7093.251473,569.4990177
1,170,8757.137883,575.2339833
1,171,9388.52,574.0649351
1,172,5696.487603,576.6139315
1,173,5395.903276,575.5787832
1,174,5493.306533,569.0577889
1,175,5529.836051,573.8469203
1,176,9176.034991,576.4604052
1,177,5758.262387,577.619679
